#,MM:DD:YYYY,HH:MM:SS,PM1.0,PM2.5,PM10.0,TVOC(ppb),CO2(ppm)
 18   , 9/11/2021, 9:33: 0 PM,   0,   0,   0,  520,  498
 19   , 9/11/2021, 9:34: 0 PM,   0,   1,   1,  760, 1186
 20   , 9/11/2021, 9:35: 0 PM,   0,   0,   0,  693,  775
 21   , 9/11/2021, 9:36: 0 PM,   0,   0,   0,  752,  815
 22   , 9/11/2021, 9:37: 0 PM,   0,   0,   0,  751,  815
 23   , 9/11/2021, 9:38: 0 PM,   0,   0,   0,  757,  829
 24   , 9/11/2021, 9:39: 0 PM,   0,   0,   0,  774,  844
 25   , 9/11/2021, 9:40: 0 PM,   0,   0,   1,  764,  857
 26   , 9/11/2021, 9:41: 0 PM,   0,   0,   0,  764,  848
 27   , 9/11/2021, 9:42: 0 PM,   0,   0,   2,  784,  861
 28   , 9/11/2021, 9:43: 0 PM,   0,   0,   2,  793,  881
 29   , 9/11/2021, 9:44: 0 PM,   0,   0,   0,  798,  909
 30   , 9/11/2021, 9:45: 0 PM,   1,   1,   1,  751,  857
 31   , 9/11/2021, 9:46: 0 PM,   0,   0,   0,  792,  922
 32   , 9/11/2021, 9:47: 0 PM,   0,   0,   0,  785,  924
 33   , 9/11/2021, 9:48: 0 PM,   0,   0,   0,  797,  919
 34   , 9/11/2021, 9:49: 0 PM,   0,   0,   0,  804,  945
 35   , 9/11/2021, 9:50: 0 PM,   0,   0,   0,  806,  913
 36   , 9/11/2021, 9:51: 0 PM,   0,   0,   0,  792,  910
 37   , 9/11/2021, 9:52: 0 PM,   0,   0,   0,  829,  969
 38   , 9/11/2021, 9:53: 0 PM,   0,   0,   0,  809, 1020
 39   , 9/11/2021, 9:54: 0 PM,   0,   0,   0,  859, 1027
 40   , 9/11/2021, 9:55: 0 PM,   0,   0,   0,  854, 1032
 41   , 9/11/2021, 9:56: 0 PM,   0,   0,   0,  860, 1066
 42   , 9/11/2021, 9:57: 0 PM,   0,   0,   0,  866, 1065
 43   , 9/11/2021, 9:58: 0 PM,   0,   0,   0,  846, 1067
 44   , 9/11/2021, 9:59: 0 PM,   0,   0,   0,  880, 1133
 45   , 9/11/2021,10: 0: 0 PM,   0,   0,   0,  869, 1092
 46   , 9/11/2021,10: 1: 0 PM,   0,   0,   1,  889, 1100
 47   , 9/11/2021,10: 2: 0 PM,   0,   0,   0,  848, 1054
 48   , 9/11/2021,10: 3: 0 PM,   0,   0,   0,  847, 1059
 49   , 9/11/2021,10: 4: 0 PM,   0,   0,   0,  840, 1061
 50   , 9/11/2021,10: 5: 0 PM,   0,   0,   0,  838,  998
 51   , 9/11/2021,10: 6: 0 PM,   0,   0,   0,  852, 1032
 52   , 9/11/2021,10: 7: 0 PM,   0,   0,   0,  792, 1001
 53   , 9/11/2021,10: 8: 0 PM,   0,   0,   0,  852, 1049
 54   , 9/11/2021,10: 9: 0 PM,   0,   0,   0,  855, 1076
