#,MM:DD:YYYY,HH:MM:SS,PM1.0,PM2.5,PM10.0,TVOC(ppb),CO2(ppm)
1,9/12/2021,12:29: 0 AM,11,16,20,88,400
2,9/12/2021,12:30: 0 AM,12,19,22,84,400
3,9/12/2021,12:31: 0 AM,13,18,20,86,400
4,9/12/2021,12:32: 0 AM,11,19,21,75,400
5,9/12/2021,12:33: 0 AM,11,16,17,66,400
6,9/12/2021,12:34: 0 AM,12,19,20,62,400
7,9/12/2021,12:35: 0 AM,12,17,18,61,400
8,9/12/2021,12:36: 0 AM,10,15,17,68,400
9,9/12/2021,12:37: 0 AM,11,16,21,69,400
10,9/12/2021,12:38: 0 AM,12,20,21,67,400
11,9/12/2021,12:39: 0 AM,12,15,22,61,400
12,9/12/2021,12:40: 0 AM,12,19,22,56,400
13,9/12/2021,12:41: 0 AM,11,18,22,51,400
14,9/12/2021,12:42: 0 AM,11,18,22,55,400
15,9/12/2021,12:43: 0 AM,11,16,18,60,400
16,9/12/2021,12:44: 0 AM,12,18,20,50,400
17,9/12/2021,12:45: 0 AM,12,20,21,49,400
18,9/12/2021,12:46: 0 AM,13,19,21,49,400
19,9/12/2021,12:47: 0 AM,10,20,23,53,400
20,9/12/2021,12:48: 0 AM,10,17,17,60,400
21,9/12/2021,12:49: 0 AM,12,17,19,61,400
22,9/12/2021,12:50: 0 AM,12,14,17,66,400
23,9/12/2021,12:51: 0 AM,13,17,19,63,400
24,9/12/2021,12:52: 0 AM,11,19,21,64,400
25,9/12/2021,12:53: 0 AM,12,21,24,57,400
26,9/12/2021,12:54: 0 AM,8,15,15,54,400
27,9/12/2021,12:55: 0 AM,13,19,21,49,400
28,9/12/2021,12:56: 0 AM,14,16,17,48,400
29,9/12/2021,12:57: 0 AM,11,19,23,49,400
30,9/12/2021,12:58: 0 AM,11,21,26,40,400
31,9/12/2021,12:59: 0 AM,14,20,20,44,400
32,9/12/2021,1: 0: 0 PM,12,18,20,44,400
33,9/12/2021,1: 1: 0 PM,12,19,19,45,400
34,9/12/2021,1: 2: 0 PM,11,19,21,34,400
35,9/12/2021,1: 3: 0 PM,13,17,17,39,400
