#,MM:DD:YYYY,HH:MM:SS,PM1.0,PM2.5,PM10.0,TVOC(ppb),CO2(ppm)
 13   , 1/10/2022, 7: 5: 0 PM,   6,  23,  62,10773, 2825
 14   , 1/10/2022, 7: 6: 0 PM,   6,  18,  54,11134, 2945
 15   , 1/10/2022, 7: 7: 0 PM,   6,  17,  44,10650, 2703
 16   , 1/10/2022, 7: 8: 0 PM,   6,  17,  47, 9929, 2653
 17   , 1/10/2022, 7: 9: 0 PM,   4,  12,  49,10244, 2754
 18   , 1/10/2022, 7:10: 0 PM,   7,  20,  47, 9546, 2519
 19   , 1/10/2022, 7:11: 0 PM,   6,  12,  43, 9456, 2482
 20   , 1/10/2022, 7:12: 0 PM,   6,  23,  49, 8826, 2224
 21   , 1/10/2022, 7:13: 0 PM,   3,  15,  35, 8229, 2027
 22   , 1/10/2022, 7:14: 0 PM,   4,   7,  24, 8353, 2015
 23   , 1/10/2022, 7:15: 0 PM,   4,   8,  23, 7554, 1924
 24   , 1/10/2022, 7:16: 0 PM,   7,  15,  44, 7441, 1908
 25   , 1/10/2022, 7:17: 0 PM,   8,  20,  37, 7060, 1807
 26   , 1/10/2022, 7:18: 0 PM,   8,  23,  54, 6985, 1770
 27   , 1/10/2022, 7:19: 0 PM,   2,  10,  26, 6709, 1654
 28   , 1/10/2022, 7:20: 0 PM,   6,  17,  49, 6523, 1619
 29   , 1/10/2022, 7:21: 0 PM,   6,  17,  36, 6493, 1599
 30   , 1/10/2022, 7:22: 0 PM,   3,   9,  30, 6443, 1595
 31   , 1/10/2022, 7:23: 0 PM,   5,  15,  39, 6353, 1534
 32   , 1/10/2022, 7:24: 0 PM,   4,   8,  29, 6037, 1410
 33   , 1/10/2022, 7:25: 0 PM,   1,   3,  10, 6047, 1480
 34   , 1/10/2022, 7:26: 0 PM,   3,   8,  35, 5881, 1391
 35   , 1/10/2022, 7:27: 0 PM,   4,   6,  19, 6032, 1451
 36   , 1/10/2022, 7:28: 0 PM,   2,   7,  20, 5611, 1333
 37   , 1/10/2022, 7:29: 0 PM,   3,  10,  22, 5505, 1296
 38   , 1/10/2022, 7:30: 0 PM,   2,   8,  33, 5450, 1237
 39   , 1/10/2022, 7:31: 0 PM,   5,  12,  26, 5335, 1218
 40   , 1/10/2022, 7:32: 0 PM,   5,  13,  28, 5360, 1205
 41   , 1/10/2022, 7:33: 0 PM,   3,   8,  19, 5174, 1161
 42   , 1/10/2022, 7:34: 0 PM,   3,   9,  24, 5094, 1140
 43   , 1/10/2022, 7:35: 0 PM,   4,   6,  10, 5094, 1111
 44   , 1/10/2022, 7:36: 0 PM,   3,   5,  22, 4934, 1067
 45   , 1/10/2022, 7:37: 0 PM,   2,   4,  14, 4919, 1050
 46   , 1/10/2022, 7:38: 0 PM,   2,   4,  15, 4848, 1031
 47   , 1/10/2022, 7:39: 0 PM,   3,   5,  13, 4487,  922
 48   , 1/10/2022, 7:40: 0 PM,   3,   8,  14, 4613,  945
 49   , 1/10/2022, 7:41: 0 PM,   2,   6,  13, 4653,  927
 50   , 1/10/2022, 7:42: 0 PM,   3,   5,  14, 4457,  859
 51   , 1/10/2022, 7:43: 0 PM,   2,   4,   8, 4332,  848
 52   , 1/10/2022, 7:44: 0 PM,   3,   4,   9, 4171,  826
 53   , 1/10/2022, 7:45: 0 PM,   3,   5,  13, 3981,  793
 54   , 1/10/2022, 7:46: 0 PM,   3,   4,  12, 3931,  789
 55   , 1/10/2022, 7:47: 0 PM,   4,   5,   9, 4046,  802
 56   , 1/10/2022, 7:48: 0 PM,   5,   9,  20, 3780,  759
 57   , 1/10/2022, 7:49: 0 PM,   3,   4,  12, 3645,  762
 58   , 1/10/2022, 7:50: 0 PM,   2,   3,   4, 3885,  773
 59   , 1/10/2022, 7:51: 0 PM,   2,   3,   4, 3695,  743
 60   , 1/10/2022, 7:52: 0 PM,   3,   5,   8, 3580,  734
 61   , 1/10/2022, 7:53: 0 PM,   3,   3,   9, 3640,  733
 62   , 1/10/2022, 7:54: 0 PM,   3,   5,  14, 3564,  735
 63   , 1/10/2022, 7:55: 0 PM,   5,   6,  12, 3364,  689
