#,MM:DD:YYYY,HH:MM:SS,PM1.0,PM2.5,PM10.0,TVOC(ppb),CO2(ppm)
 3    , 1/10/2022, 8:17: 0 PM, 401,1824,2496, 2771, 2764
 4    , 1/10/2022, 8:18: 0 PM, 402,1842,2456, 2941, 2599
 5    , 1/10/2022, 8:19: 0 PM, 236,2150,3851, 3379, 2845
 6    , 1/10/2022, 8:20: 0 PM, 354,2014,2801, 3941, 3728
 7    , 1/10/2022, 8:21: 0 PM, 376,1926,2638, 3444, 2438
 8    , 1/10/2022, 8:22: 0 PM, 396,1871,2538, 3625, 2435
 9    , 1/10/2022, 8:23: 0 PM, 411,1822,2427, 3399, 2044
 10   , 1/10/2022, 8:24: 0 PM, 364,1967,2704, 3299, 1924
 11   , 1/10/2022, 8:25: 0 PM, 400,1889,2495, 3148, 1851
 12   , 1/10/2022, 8:26: 0 PM, 397,1918,2581, 3098, 1824
 13   , 1/10/2022, 8:27: 0 PM, 347,2024,2835, 3474, 2029
 14   , 1/10/2022, 8:28: 0 PM, 322,2105,3015, 3294, 1954
 15   , 1/10/2022, 8:29: 0 PM, 328,2044,2952, 3349, 1926
 16   , 1/10/2022, 8:30: 0 PM, 324,2105,3011, 3259, 1957
 17   , 1/10/2022, 8:31: 0 PM, 354,2050,2913, 3123, 1837
 18   , 1/10/2022, 8:32: 0 PM, 378,2035,2788, 3123, 1869
 19   , 1/10/2022, 8:33: 0 PM, 347,2112,2951, 3504, 2077
 20   , 1/10/2022, 8:34: 0 PM, 342,2106,2947, 3655, 2143
 21   , 1/10/2022, 8:35: 0 PM, 338,2168,3198, 3730, 2116
 22   , 1/10/2022, 8:36: 0 PM, 304,2172,3209, 3690, 2173
 23   , 1/10/2022, 8:37: 0 PM, 305,2163,3173, 3860, 2636
 24   , 1/10/2022, 8:38: 0 PM, 260,2223,3487, 4091, 2860
 25   , 1/10/2022, 8:39: 0 PM, 290,2213,3348, 3906, 2504
 26   , 1/10/2022, 8:40: 0 PM, 281,2221,3452, 4071, 2739
 27   , 1/10/2022, 8:41: 0 PM, 278,2261,3549, 4272, 3134
 28   , 1/10/2022, 8:42: 0 PM, 293,2203,3256, 4016, 3218
 29   , 1/10/2022, 8:43: 0 PM, 282,2203,3416, 4186, 3125
 30   , 1/10/2022, 8:44: 0 PM, 288,2244,3456, 4257, 3333
 31   , 1/10/2022, 8:45: 0 PM, 294,2209,3384, 3966, 2970
 32   , 1/10/2022, 8:46: 0 PM, 310,2206,3308, 4186, 3444
 33   , 1/10/2022, 8:47: 0 PM, 307,2271,3329, 4432, 3920
 34   , 1/10/2022, 8:48: 0 PM, 270,2242,3548, 4944, 4410
 35   , 1/10/2022, 8:49: 0 PM, 254,2216,3681, 4633, 4160
 36   , 1/10/2022, 8:50: 0 PM, 244,2200,3671, 5024, 4663
 37   , 1/10/2022, 8:51: 0 PM, 260,2246,3547, 4813, 4398
 38   , 1/10/2022, 8:52: 0 PM, 237,2217,3742, 4718, 4266
 39   , 1/10/2022, 8:53: 0 PM, 260,2223,3665, 4818, 4430
 40   , 1/10/2022, 8:54: 0 PM, 276,2247,3448, 4949, 4587
 41   , 1/10/2022, 8:55: 0 PM, 241,2244,3842, 4969, 4435
 42   , 1/10/2022, 8:56: 0 PM, 259,2199,3778, 4969, 4616
 43   , 1/10/2022, 8:57: 0 PM, 228,2200,3848, 5039, 4369
 44   , 1/10/2022, 8:58: 0 PM, 256,2182,3639, 5054, 4737
 45   , 1/10/2022, 8:59: 0 PM, 250,2154,3831, 5209, 5336
 46   , 1/10/2022, 9: 0: 0 PM, 242,2216,3705, 4638, 4089
 47   , 1/10/2022, 9: 1: 0 PM, 245,2207,3640, 5074, 4931
 48   , 1/10/2022, 9: 2: 0 PM, 247,2193,3744, 5194, 5197
 49   , 1/10/2022, 9: 3: 0 PM, 238,2171,3817, 5004, 4523
 50   , 1/10/2022, 9: 4: 0 PM, 227,2223,3692, 5144, 4744
 51   , 1/10/2022, 9: 5: 0 PM, 268,2209,3631, 5425, 5638
 52   , 1/10/2022, 9: 6: 0 PM, 240,2151,3786, 4868, 4531
 53   , 1/10/2022, 9: 7: 0 PM, 240,2142,3721, 5290, 4823
 54   , 1/10/2022, 9: 8: 0 PM, 237,2200,3777, 4883, 4501
 55   , 1/10/2022, 9: 9: 0 PM, 244,2203,3661, 4878, 4378
 56   , 1/10/2022, 9:10: 0 PM, 256,2241,3688, 4648, 4175
 57   , 1/10/2022, 9:11: 0 PM, 247,2198,3701, 4457, 4074
 58   , 1/10/2022, 9:12: 0 PM, 234,2149,3682, 4568, 3780
 59   , 1/10/2022, 9:13: 0 PM, 259,2235,3606, 4683, 4295
 60   , 1/10/2022, 9:14: 0 PM, 249,2235,3635, 4397, 4013
 61   , 1/10/2022, 9:15: 0 PM, 264,2221,3593, 4397, 3615
 62   , 1/10/2022, 9:16: 0 PM, 256,2213,3635, 4638, 4040
 63   , 1/10/2022, 9:17: 0 PM, 242,2191,3625, 4327, 3740
 64   , 1/10/2022, 9:18: 0 PM, 257,2184,3631, 4272, 3456
 65   , 1/10/2022, 9:19: 0 PM, 282,2214,3417, 4056, 3311
 66   , 1/10/2022, 9:20: 0 PM, 264,2252,3509, 3895, 2845
 67   , 1/10/2022, 9:21: 0 PM, 260,2193,3476, 3880, 2884
 68   , 1/10/2022, 9:22: 0 PM, 259,2211,3487, 3800, 3026
 69   , 1/10/2022, 9:23: 0 PM, 276,2217,3380, 3544, 2506
 70   , 1/10/2022, 9:24: 0 PM, 289,2177,3207, 3449, 2344
 71   , 1/10/2022, 9:25: 0 PM, 268,2216,3450, 3494, 2487
 72   , 1/10/2022, 9:26: 0 PM, 270,2197,3431, 3494, 2401
 73   , 1/10/2022, 9:27: 0 PM, 281,2215,3362, 3424, 2288
 74   , 1/10/2022, 9:28: 0 PM, 271,2219,3343, 3339, 2293
 75   , 1/10/2022, 9:29: 0 PM, 278,2193,3292, 3183, 2065
 76   , 1/10/2022, 9:30: 0 PM, 294,2283,3505, 3334, 2315
 77   , 1/10/2022, 9:31: 0 PM, 297,2183,3208, 3078, 1951
 78   , 1/10/2022, 9:32: 0 PM, 294,2174,3243, 3218, 1999
 79   , 1/10/2022, 9:33: 0 PM, 299,2162,3211, 3013, 1852
 80   , 1/10/2022, 9:34: 0 PM, 294,2153,3131, 2907, 1744
 81   , 1/10/2022, 9:35: 0 PM, 291,2165,3197, 2992, 1897
 82   , 1/10/2022, 9:36: 0 PM, 309,2130,3093, 2958, 1759
 83   , 1/10/2022, 9:37: 0 PM, 291,2179,3164, 2898, 1636
 84   , 1/10/2022, 9:38: 0 PM, 301,2091,2979, 2851, 1655
 85   , 1/10/2022, 9:39: 0 PM, 294,2150,3114, 2771, 1510
 86   , 1/10/2022, 9:40: 0 PM, 315,2084,3029, 2676, 1414
 87   , 1/10/2022, 9:41: 0 PM, 300,2131,3076, 2764, 1508
 88   , 1/10/2022, 9:42: 0 PM, 310,2110,3034, 2743, 1540
 89   , 1/10/2022, 9:43: 0 PM, 311,2118,3022, 2641, 1334
 90   , 1/10/2022, 9:44: 0 PM, 327,2111,3003, 2743, 1520
 91   , 1/10/2022, 9:45: 0 PM, 318,2117,3039, 2614, 1315
 92   , 1/10/2022, 9:46: 0 PM, 324,2092,2969, 2563, 1297
 93   , 1/10/2022, 9:47: 0 PM, 333,2037,2858, 2551, 1181
 94   , 1/10/2022, 9:48: 0 PM, 328,2068,2931, 2549, 1214
 95   , 1/10/2022, 9:49: 0 PM, 321,2030,2799, 2579, 1232
 96   , 1/10/2022, 9:50: 0 PM, 343,1999,2765, 2491, 1151
 97   , 1/10/2022, 9:51: 0 PM, 321,2011,2766, 2424, 1023
 98   , 1/10/2022, 9:52: 0 PM, 340,1953,2734, 2471, 1067
