day,date,death,daily_deaths
1,2020-03-23,0,0
2,2020-03-24,1,1
3,2020-03-25,1,0
4,2020-03-26,1,0
5,2020-03-27,1,0
6,2020-03-28,2,1
7,2020-03-29,2,0
8,2020-03-30,4,2
9,2020-03-31,5,1
10,2020-04-01,6,1
11,2020-04-02,7,1
12,2020-04-03,10,3
13,2020-04-04,11,1
14,2020-04-05,12,1
15,2020-04-06,12,0
16,2020-04-07,13,1
17,2020-04-08,16,3
18,2020-04-09,19,3
19,2020-04-10,19,0
20,2020-04-11,20,1
21,2020-04-12,26,6
22,2020-04-13,31,5
23,2020-04-14,36,5
24,2020-04-15,36,0
25,2020-04-16,44,8
26,2020-04-17,51,7
27,2020-04-18,53,2
28,2020-04-19,55,2
29,2020-04-20,58,3
30,2020-04-21,65,7
31,2020-04-22,71,6
32,2020-04-23,78,7
33,2020-04-24,84,6
34,2020-04-25,93,9
35,2020-04-26,99,6
36,2020-04-27,104,5
37,2020-04-28,110,6
38,2020-04-29,112,2
39,2020-04-30,123,11
40,2020-05-01,131,8
41,2020-05-02,139,8
42,2020-05-03,151,12
43,2020-05-04,156,5
44,2020-05-05,162,6
45,2020-05-06,169,7
46,2020-05-07,172,3
47,2020-05-08,181,9
48,2020-05-09,191,10
49,2020-05-10,200,9
50,2020-05-11,208,8
51,2020-05-12,219,11
52,2020-05-13,231,12
53,2020-05-14,242,11
54,2020-05-15,253,11
55,2020-05-16,259,6
56,2020-05-17,265,6
57,2020-05-18,270,5
58,2020-05-19,276,6
59,2020-05-20,283,7
60,2020-05-21,294,11
61,2020-05-22,302,8
62,2020-05-23,308,6
63,2020-05-24,317,9
64,2020-05-25,320,3
65,2020-05-26,325,5
66,2020-05-27,329,4
67,2020-05-28,335,6
68,2020-05-29,344,9
69,2020-05-30,351,7
70,2020-05-31,356,5
71,2020-06-01,362,6
72,2020-06-02,367,5
73,2020-06-03,375,8
74,2020-06-04,383,8
75,2020-06-05,387,4
76,2020-06-06,392,5
77,2020-06-07,396,4
78,2020-06-08,400,4
79,2020-06-09,404,4
80,2020-06-10,410,6
81,2020-06-11,420,10
82,2020-06-12,426,6
83,2020-06-13,431,5
84,2020-06-14,435,4
85,2020-06-15,440,5
86,2020-06-16,447,7
87,2020-06-17,452,5
88,2020-06-18,456,4
89,2020-06-19,464,8
90,2020-06-20,466,2
91,2020-06-21,469,3
92,2020-06-22,469,0
93,2020-06-23,476,7
94,2020-06-24,480,4
95,2020-06-25,485,5
96,2020-06-26,489,4
97,2020-06-27,491,2
98,2020-06-28,492,1
99,2020-06-29,493,1
100,2020-06-30,497,4
101,2020-07-01,500,3
102,2020-07-02,503,3
103,2020-07-03,511,8
104,2020-07-04,513,2
105,2020-07-05,513,0
106,2020-07-06,515,2
107,2020-07-07,519,4
108,2020-07-08,527,8
109,2020-07-09,533,6
110,2020-07-10,539,6
111,2020-07-11,543,4
112,2020-07-12,545,2
113,2020-07-13,548,3
114,2020-07-14,551,3
115,2020-07-15,557,6
116,2020-07-16,562,5
117,2020-07-17,565,3
118,2020-07-18,569,4
119,2020-07-19,571,2
120,2020-07-20,578,7
121,2020-07-21,588,10
122,2020-07-22,591,3
123,2020-07-23,596,5
124,2020-07-24,601,5
125,2020-07-25,607,6
126,2020-07-26,614,7
127,2020-07-27,619,5
128,2020-07-28,626,7
129,2020-07-29,632,6
130,2020-07-30,635,3
131,2020-07-31,642,7
132,2020-08-01,651,9
133,2020-08-02,654,3
134,2020-08-03,655,1
135,2020-08-04,658,3
136,2020-08-05,667,9
137,2020-08-06,669,2
138,2020-08-07,675,6
139,2020-08-08,681,6
140,2020-08-09,685,4
141,2020-08-10,690,5
142,2020-08-11,693,3
143,2020-08-12,695,2
144,2020-08-13,697,2
145,2020-08-14,703,6
146,2020-08-15,711,8
147,2020-08-16,714,3
148,2020-08-17,718,4
149,2020-08-18,723,5
150,2020-08-19,729,6
151,2020-08-20,734,5
152,2020-08-21,739,5
153,2020-08-22,743,4
154,2020-08-23,745,2
155,2020-08-24,747,2
156,2020-08-25,750,3
157,2020-08-26,755,5
158,2020-08-27,764,9
159,2020-08-28,767,3
160,2020-08-29,769,2
161,2020-08-30,770,1
162,2020-08-31,779,9
163,2020-09-01,787,8
164,2020-09-02,790,3
165,2020-09-03,791,1
166,2020-09-04,794,3
167,2020-09-05,800,6
168,2020-09-06,803,3
169,2020-09-07,807,4
170,2020-09-08,807,0
171,2020-09-09,813,6
172,2020-09-10,816,3
173,2020-09-11,818,2
174,2020-09-12,821,3
175,2020-09-13,823,2
176,2020-09-14,823,0
177,2020-09-15,830,7
178,2020-09-16,832,2
179,2020-09-17,836,4
180,2020-09-18,841,5
181,2020-09-19,847,6
182,2020-09-20,849,2
183,2020-09-21,851,2
184,2020-09-22,854,3
185,2020-09-23,857,3
186,2020-09-24,859,2
187,2020-09-25,865,6
188,2020-09-26,870,5
189,2020-09-27,870,0
190,2020-09-28,873,3
191,2020-09-29,875,2
192,2020-09-30,877,2
193,2020-10-01,882,5
194,2020-10-02,887,5
195,2020-10-03,890,3
196,2020-10-04,892,2
197,2020-10-05,894,2
198,2020-10-06,894,0
199,2020-10-07,896,2
200,2020-10-08,899,3
201,2020-10-09,902,3
202,2020-10-10,907,5
203,2020-10-11,911,4
204,2020-10-12,915,4
205,2020-10-13,918,3
206,2020-10-14,921,3
207,2020-10-15,922,1
208,2020-10-16,928,6
209,2020-10-17,929,1
