MM:DD:YYYY,HH:MM:SS,PM1.0,PM2.5,PM10.0,TVOC(ppb),CO2(ppm),School,Bedroom,Restroom,Window Open,Parking/Street,Door Open,Air Purifier,People,Incense,Chemicals
9/12/2021,3:36:00 PM,4,7,10,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,3:37:00 PM,4,5,8,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,3:38:00 PM,4,7,8,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,3:39:00 PM,4,5,5,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,3:40:00 PM,4,7,7,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,3:41:00 PM,4,5,8,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,3:42:00 PM,4,5,6,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,3:43:00 PM,4,5,5,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,3:44:00 PM,4,5,8,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,3:45:00 PM,2,4,5,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,3:46:00 PM,4,5,8,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,3:47:00 PM,3,4,4,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,3:48:00 PM,2,3,3,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,3:49:00 PM,4,5,5,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,3:50:00 PM,3,4,4,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,3:51:00 PM,3,5,6,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,3:52:00 PM,4,4,4,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,3:53:00 PM,4,7,8,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,3:54:00 PM,2,3,5,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,3:55:00 PM,4,4,4,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,3:56:00 PM,3,4,5,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,3:57:00 PM,2,3,5,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,3:58:00 PM,3,3,3,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,3:59:00 PM,2,3,4,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,4:00:00 PM,1,4,6,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,4:01:00 PM,3,3,5,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,4:02:00 PM,4,4,4,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,4:03:00 PM,3,5,6,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,4:04:00 PM,3,4,5,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,4:05:00 PM,2,3,3,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,4:06:00 PM,2,3,4,0,400,0,1,0,1,1,1,1,1,0,0
9/12/2021,4:07:00 PM,3,5,7,0,400,0,1,0,1,1,1,1,1,0,0
